District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2018 Incumbent,2016 President,,2012 President,,2008 President,,2018 US House,,2016 US House,,2014 US House,,2012 Two-Party,,2014-2018 ACS Citizen Adult Population,,,,,,2010 Census Adult Population by Race,,,,,,2014-2018 ACS Educational Attainment Among Adults 25+ and Median Household Income,,,,,,,,,,Non-College White Share,2013-2022 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2018 House,,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,ACS Citizen Population (Includes Latinos of Any Race),,,,,,,ACS Citizen Voting Age Population (Includes Latinos of Any Race),,,,,,,2010 Census Total Population (Includes Latinos of Any Race),,,,,,,2010 Census Voting Age Population (Includes Latinos of Any Race),,,,,,,2018 5-Year ACS Educational Attainment,,,,,2018 5-Year ACS White Educational Attainment,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,HS Rank,Bachelor's Degree or Higher,BA Rank (Bachelor's Degree Share),White BA (Bachelor's Degree or Higher Among Whites Only),White BA Rank (Bachelor's Degree Share),Median Income,Income Rank,White Income,White Rank,,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,< High School,High School,Some College,College,Total,< High School,High School,Some College,College
California's 39th,CA-39,Democratic,Gil,Cisneros,(GIL sis-NAIR-ohs),/gɪl sɪs.'nɜ.ɹoʊs/,2018,1971,Man,Hispanic,Christian - Roman Catholic,No,Open - Retired,51.5,42.9,47.1,50.8,47.3,49.4,51.6,48.4,42.8,57.2,31.5,68.5,42.2,57.8,37.1,2.7,28.8,29.3,0.2,1.9,37.4,2.4,28.5,29.8,0.2,1.8 ,89.1 ,214 ,41.5 ,71 ,42.9 ,109 ,"$87,752",41,"$95,060",45,21.2,,,,60,"272,471","140,230","116,782","263,530","124,108","133,742",100,47.3,49.4,"244,393","126,002","118,391",0,"263,456","112,679","150,777",0,"133,225","41,906","91,319",0,"106,360","145,607",,,,,"636,515","212,190","15,965","210,295","180,400","1,495","16,175","483,900","179,290","13,280","139,205","141,685","1,200","9,240","696,460","239,399","15,997","224,194","199,446","1,257","16,167","530,634","198,202","12,519","151,476","158,032","1,019","9,386","497,714","54,418","90,777","146,071","206,448","164,536","5,899","29,368","58,685","70,584"
California's 40th,CA-40,Democratic,Lucille,Roybal-Allard,(loo-SEEL ROY-bawl AL-urd),/lu.'sil 'ɹɔɪ.bɔl 'æ.ləɹd/,1992,1941,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,82.2,12.8,81.5,16.5,76.9,19.4,77.3,0.0,71.4,0.0,100.0,0.0,100.0,0.0,8.1,7.6,79.9,3.6,0.2,0.6,6.7,5.5,84.2,2.8,0.2,0.6 ,55.1 ,435 ,10.0 ,433 ,22.6 ,397 ,"$46,484",378,"$56,902",321,6.3,,,,61,"164,714","135,472","21,077","141,918","115,637","23,446",100,76.9,19.4,"121,449","93,938",0,"27,511","149,297","106,554",0,"42,743","49,379","49,379",0,0,"125,553",0,,,,,"523,145","31,430","32,135","441,645","14,340",840,"2,755","327,105","26,635","24,700","261,465","11,715",790,"1,800","703,827","38,003","35,859","608,058","16,299",997,"4,611","478,423","31,970","26,289","402,942","13,599",779,"2,844","427,100","191,758","104,402","88,174","42,766","25,349","3,000","7,895","8,714","5,740"
California's 41st,CA-41,Democratic,Mark,Takano,(MARK tuh-KAHN-noh),/mɑɹk tə.'kɑ.noʊ/,2012,1960,Man,Asian - Japanese,Christian - Methodist,Gay,Won,61.0,33.1,61.5,36.3,58.5,38.0,65.1,34.9,65.0,35.0,56.6,43.4,59.0,41.0,30.6,11.1,49.7,6.3,0.4,1.9,30.9,9.6,50.3,6.9,0.4,1.9 ,75.9 ,413 ,17.4 ,411 ,26.0 ,339 ,"$63,921",167,"$76,444",130,22.7,,,,62,"206,961","126,197","68,526","185,429","114,040","67,314",100,58.5,38.0,"166,248","108,227","58,021",0,"197,323","128,164","69,159",0,"82,884","46,948","35,936",0,"103,578","72,074",,,,,"653,470","166,855","67,205","368,715","34,805","2,015","13,870","456,205","139,695","50,785","226,820","28,615","1,775","8,510","701,109","182,700","66,182","392,728","41,005","2,459","16,035","490,407","151,364","47,309","246,668","33,867","1,899","9,300","451,938","109,004","127,188","137,027","78,719","126,650","10,565","33,825","49,324","32,936"
California's 42nd,CA-42,Republican,Ken,Calvert,(KEN KAL-vert),/kɛn 'kæl.vəɹt/,1992,1953,Man,White - Non-Hispanic,Christian - Episcopalian,No,Won,41.4,53.4,41.4,56.5,43.0,53.9,43.5,56.5,41.2,58.8,34.3,65.7,39.4,60.6,50.6,6.3,31.2,9.1,0.4,2.5,50.8,5.3,32.1,9.3,0.4,2.1 ,86.6 ,299 ,25.5 ,287 ,27.9 ,302 ,"$82,030",58,"$87,208",73,36.5,,,,63,"268,305","111,103","143,175","232,520","96,212","131,438",100,43.0,53.9,"231,932","100,892","131,040",0,"254,236","104,689","149,547",0,"113,390","38,850","74,540",0,"84,702","130,245",,,,,"729,515","332,350","41,970","265,715","61,640","2,535","25,305","517,570","261,955","32,505","161,300","46,880","1,940","13,000","709,841","330,416","36,689","256,739","62,490","2,857","20,650","502,971","255,312","26,836","161,500","46,843","2,167","10,313","506,499","67,831","126,657","182,877","129,134","242,277","14,037","61,937","98,813","67,490"
California's 43rd,CA-43,Democratic,Maxine,Waters,(MAK-seen WAH-terz),/'mæk.sin 'wɑ.ɾəɹz/,1990,1938,Woman,Black - African-American,Christian - Protestant,No,Won,78.4,16.7,78.0,20.0,75.2,21.8,77.7,22.3,76.1,23.9,71.0,29.0,100.0,0.0,19.9,27.8,35.2,14.2,0.3,2.6,17.7,24.2,41.7,14.1,0.2,2.1 ,78.0 ,406 ,26.4 ,268 ,44.7 ,97 ,"$57,130",230,"$83,977",86,11.0,,,,64,"234,060","183,434","39,039","222,219","173,342","44,485",100,75.2,21.8,"196,052","152,272","43,780",0,"219,516","167,017","52,499",0,"98,202","69,681","28,521",0,"200,894",0,,,,,"605,000","101,325","157,165","252,250","75,610","1,325","17,320","437,170","87,185","121,555","154,070","61,900","1,125","11,330","703,742","105,987","165,892","324,296","88,512","1,349","17,706","520,049","91,816","125,866","216,776","73,466","1,096","11,029","481,801","106,100","107,714","140,661","127,326","83,267","4,755","15,011","26,276","37,225"
California's 44th,CA-44,Democratic,Nanette,Barragan,(nuh-NET BAIR-uh-gen),/nə.'nɛt 'bɛ.ɹə.gɛn/,2016,1976,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,83.0,12.3,84.7,13.6,81.0,15.8,100.0,0.0,100.0,0.0,86.7,0.0,100.0,0.0,10.5,21.8,58.4,7.6,0.3,1.5,9.0,18.0,64.5,7.1,0.2,1.2 ,64.3 ,431 ,12.8 ,430 ,28.6 ,290 ,"$52,173",311,"$64,797",224,7.5,,,,65,"197,802","164,251","24,261","183,586","155,459","24,995",100,81.0,15.8,"143,322","143,322",0,0,"178,413","178,413",0,0,"68,862","59,670",0,"9,192","165,898",0,,,,,"581,400","45,870","108,845","379,655","37,130","1,600","8,300","388,040","40,560","84,575","226,665","29,455","1,130","5,655","702,899","50,147","117,907","480,731","43,546","1,254","9,314","487,334","43,768","87,781","314,209","34,779","1,013","5,784","441,536","157,647","113,502","113,759","56,628","38,963","3,879","9,727","14,209","11,148"
California's 45th,CA-45,Democratic,Katie,Porter,(KEY-tee PAWR-ter),/'keɪ.ɾi 'pɔɹ.tər/,2018,1974,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Lost,49.8,44.4,43.0,54.8,46.3,50.6,52.1,47.9,41.4,58.6,34.9,65.1,41.5,58.5,59.5,1.8,15.2,20.8,0.2,2.6,58.3,1.5,16.4,21.0,0.2,2.7 ,93.6 ,27 ,54.7 ,16 ,55.4 ,37 ,"$102,575",17,"$106,696",22,26.5,,,,66,"325,967","162,449","144,713","309,399","133,114","169,489",100,46.3,50.6,"305,289","158,906","146,383",0,"311,849","129,231","182,618",0,"162,902","56,819","106,083",0,"121,814","171,417",,,,,"676,430","376,165","12,245","119,330","141,505","1,180","26,005","517,975","308,035","9,215","78,670","107,555",930,"13,570","692,013","384,853","10,010","128,724","142,173","1,217","25,036","531,667","310,132","7,937","86,929","111,541",974,"14,154","529,751","33,847","65,012","140,920","289,972","292,670","7,639","35,533","87,422","162,076"
California's 46th,CA-46,Democratic,Lou,Correa,(LOO kawr-EY-uh) [R is trilled in Spanish],/lu kɔ.'reɪ.ə/,2016,1958,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,66.3,27.9,61.4,36.2,57.8,38.6,69.1,30.9,100.0,0.0,59.7,40.3,63.9,36.1,29.3,2.4,49.6,17.2,0.2,1.4,22.5,1.9,60.8,13.3,0.2,1.2 ,67.9 ,427 ,18.9 ,403 ,31.4 ,250 ,"$63,750",170,"$74,023",147,20.1,,,,67,"180,750","119,762","50,403","155,493","95,479","56,252",100,57.8,38.6,"147,916","102,278","45,638",0,"164,593","164,593",0,0,"83,315","49,738","33,577",0,"95,694","54,121",,,,,"554,910","123,990","11,035","331,635","78,980","1,270","8,000","378,525","110,720","9,005","187,675","64,920",915,"5,290","708,237","131,037","12,165","470,745","83,387","1,368","9,535","504,841","113,813","9,687","306,928","67,218","1,067","6,128","458,923","147,190","108,190","116,603","86,940","100,133","6,792","25,049","36,885","31,407"
California's 47th,CA-47,Democratic,Alan,Lowenthal,(AL-en LOHW-en-thawl),/'æ.lɛn 'loʊ.ɛn.θɔl/,2012,1941,Man,White - Non-Hispanic,Jewish,No,Won,62.6,31.0,60.0,37.5,57.9,38.6,64.9,35.1,63.7,36.3,56.0,44.0,56.6,43.4,40.5,8.2,25.7,23.0,0.3,2.3,38.5,7.3,29.6,22.1,0.3,2.2 ,81.9 ,381 ,32.0 ,168 ,42.2 ,116 ,"$67,451",138,"$83,451",87,23.4,,,,68,"258,320","161,743","80,162","245,624","147,456","92,010",100,57.9,38.6,"221,036","143,354","77,682",0,"242,868","154,759","88,109",0,"123,400","69,091","54,309",0,"130,093","99,919",,,,,"626,850","222,045","49,960","195,800","138,515","2,090","18,440","475,460","192,465","38,760","122,350","109,405","1,580","10,900","701,770","239,094","51,309","239,436","149,779","1,928","20,224","533,085","205,319","38,828","157,822","117,608","1,602","11,906","487,612","88,386","92,902","150,365","155,959","181,001","8,683","32,095","63,794","76,429"
California's 48th,CA-48,Democratic,Harley,Rouda,(HAHR-lee ROO-duh),/'hɑɹ.li 'ɹu.də/,2018,1956,Man,White - Non-Hispanic,Christian - Nondenominational Protestant,No,Lost,47.9,46.2,43.0,54.7,45.9,50.8,53.6,46.4,41.7,58.3,35.9,64.1,39.0,61.0,62.5,1.4,15.2,18.4,0.3,2.2,61.5,1.0,17.0,18.1,0.2,2.1 ,89.6 ,194 ,45.2 ,47 ,52.2 ,53 ,"$91,464",32,"$99,424",36,29.9,,,,69,"317,328","152,035","146,595","309,496","133,103","169,249",100,45.9,50.8,"294,736","157,837","136,899",0,"306,416","127,715","178,701",0,"174,795","62,713","112,082",0,"113,358","177,144",,,,,"663,340","389,115","8,370","124,585","118,290","1,755","21,220","525,035","328,110","7,110","80,015","96,555","1,440","11,810","712,874","415,230","6,680","140,691","127,786","1,515","20,972","561,701","345,365","5,482","95,599","101,923","1,271","12,061","525,981","54,822","79,117","154,543","237,499","312,039","9,128","41,544","98,623","162,744"
California's 49th,CA-49,Democratic,Mike,Levin,(MAHYK LE-vin),/maɪk 'lɛ.vɪn/,2018,1978,Man,Hispanic - Mexican / Jewish,Christian - Roman Catholic,No,Open - Retired,50.7,43.2,45.7,52.2,49.0,47.9,56.4,43.6,49.7,50.3,39.8,60.2,41.8,58.2,68.7,2.6,19.5,6.5,0.3,2.4,65.4,2.4,22.1,7.6,0.4,2.2 ,90.7 ,137 ,44.8 ,49 ,52.4 ,52 ,"$87,919",40,"$95,759",43,32.7,,,,70,"314,011","159,081","135,576","294,468","134,447","153,856",100,49.0,47.9,"295,030","166,453","128,577",0,"310,155","154,267","155,888",0,"163,142","64,981","98,161",0,"114,893","159,725",,,,,"681,260","437,295","17,145","159,050","44,050","1,905","21,825","514,955","353,520","13,565","100,330","33,700","1,395","12,435","713,732","438,171","16,596","182,877","50,892","2,465","22,731","541,472","354,022","12,811","119,740","40,941","1,984","11,974","492,708","46,036","78,091","147,873","220,708","323,609","8,501","43,448","101,997","169,663"
California's 50th,CA-50,Vacant (R),,,,,,,,,,,Won,39.6,54.6,37.6,60.4,39.1,58.0,48.3,51.7,36.5,63.5,28.8,71.2,32.3,67.7,64.9,2.9,22.6,5.9,1.0,2.8,63.3,2.3,25.7,5.5,0.9,2.2 ,87.0 ,289 ,28.7 ,231 ,34.0 ,211 ,"$74,605",84,"$80,381",106,42.8,,,,71,"292,878","115,864","159,822","273,289","102,649","165,104",100,39.1,58.0,"259,810","125,448","134,362",0,"283,583","103,646","179,937",0,"157,299","45,302","111,997",0,"83,455","174,838",,,,,"675,650","398,475","18,255","190,865","37,105","6,485","24,465","500,270","324,590","14,550","112,830","29,430","4,865","14,005","700,614","410,047","16,301","210,423","36,142","6,908","20,793","520,756","329,692","12,043","134,076","28,646","4,941","11,358","498,256","64,890","115,425","175,059","142,882","304,915","16,318","67,691","117,124","103,782"
California's 51st,CA-51,Democratic,Juan,Vargas,(WAHN VAR-gus),/wɑn 'vɑɹ.gəs/,2012,1961,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,71.8,22.8,69.4,28.9,65.0,31.7,71.2,28.8,72.8,27.2,68.8,31.2,71.5,28.5,19.5,8.5,60.5,9.5,0.5,1.5,17.6,7.4,63.9,9.1,0.5,1.5 ,69.9 ,424 ,14.6 ,426 ,25.7 ,347 ,"$47,569",369,"$61,609",258,14.5,,,,72,"205,437","147,603","46,825","166,684","115,610","48,108",100,65.0,31.7,"153,828","109,527","44,301",0,"199,524","145,162","54,362",0,"81,950","56,373","25,577",0,"113,934","45,464",,,,,"597,025","92,240","44,040","399,605","48,335","2,465","10,335","417,975","81,310","35,460","252,935","39,785","2,020","6,455","702,436","101,085","47,932","480,634","57,218","3,132","12,435","503,460","88,607","37,415","321,527","45,770","2,367","7,774","455,048","137,014","115,224","136,155","66,655","73,217","6,055","19,373","28,980","18,809"
California's 52nd,CA-52,Democratic,Scott,Peters,(SKAHT PEE-terz),/skɑt 'pi.ɾəɹz/,2012,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Won,58.1,35.6,52.1,45.7,54.6,42.5,63.8,36.2,56.5,43.5,51.6,48.4,51.2,48.8,64.9,3.2,12.3,16.2,0.3,3.1,64.7,2.9,11.6,17.8,0.3,2.8 ,95.2 ,4 ,58.4 ,9 ,61.6 ,22 ,"$94,302",29,"$97,021",39,24.9,,,,73,"329,258","191,325","117,057","314,748","163,911","143,726",100,54.6,42.5,"296,007","188,992","107,015",0,"320,656","181,253","139,403",0,"191,572","98,826","92,746",0,"151,451","144,459",,,,,"689,915","425,095","21,595","96,905","113,765","1,755","30,805","547,075","355,070","17,575","67,315","88,635","1,565","16,920","697,659","433,164","20,283","90,611","124,125","1,958","27,518","560,637","362,782","16,208","64,846","99,553","1,592","15,656","536,139","25,993","60,626","136,243","313,277","330,327","7,725","33,760","85,475","203,367"
California's 53rd,CA-53,Democratic,Susan,Davis,(SOO-zuhn DEY-vis),/'su.zən 'deɪ.vɪs/,2000,1944,Woman,White - Non-Hispanic,Jewish,No,Won,64.5,29.6,6.4,36.4,60.7,36.4,69.1,30.9,67.0,33.0,58.8,41.2,61.4,38.6,48.0,8.3,27.2,13.1,0.2,3.2,48.1,7.5,27.6,13.5,0.4,2.9 ,88.9 ,223 ,37.7 ,106 ,47.0 ,82 ,"$73,421",94,"$78,664",115,25.4,,,,74,"310,373","200,237","91,822","284,333","174,616","103,513",100,60.7,36.4,"268,794","185,667","83,127",0,"296,956","198,988","97,968",0,"148,044","87,104","60,940",0,"164,825","103,482",,,,,"695,265","296,290","58,680","221,395","87,425","1,590","29,895","541,635","259,770","45,085","147,170","71,160","1,350","17,105","699,221","302,484","54,751","221,120","91,477","2,356","27,033","546,096","262,923","40,868","150,625","73,753","1,959","15,968","528,645","58,861","93,919","176,455","199,410","242,645","11,140","38,625","78,724","114,156"
Colorado's 1st,CO-01,Democratic,Diana,DeGette,(dahy-AN-uh duh-GET),/daɪ.'æn.ə də.'gɛt/,1996,1957,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Won,69.0,23.2,69.0,28.8,70.9,27.6,73.8,23.0,67.9,27.7,65.8,29.0,71.8,28.2,68.6,7.9,18.5,2.7,0.5,1.9,62.2,8.0,24.2,3.3,0.6,1.8 ,88.3 ,250 ,47.6 ,32 ,61.2 ,23 ,"$65,874",148,"$77,962",118,26.6,,,,75,"402,463","277,790","93,486","368,798","254,400","106,334","336,293","238,267","92,818","369,715","272,886","85,207","11,622","379,036","257,254","105,030","16,752","278,491","183,281","80,682","14,528","237,579","93,217",,,,,"746,355","466,735","60,315","177,075","20,390","3,675","18,165","585,845","401,640","46,060","108,265","15,620","2,960","11,305","717,603","406,873","60,035","207,066","23,415","4,076","16,138","561,585","349,330","44,977","135,637","18,571","3,241","9,829","585,925","68,675","101,470","136,911","278,869","378,216","11,584","48,521","86,728","231,383"
Colorado's 2nd,CO-02,Democratic,Joe,Neguse,(JOH nuh-GOOS),/dʒoʊ nə.'gus/,2018,1984,Man,Black - Eritrean,Christian - Protestant,No,Open - Elected governor,56.2,34.9,57.9,39.5,61.2,37.2,60.3,33.6,56.9,37.2,56.7,43.3,59.1,40.9,87.5,0.9,7.5,2.2,0.4,1.5,86.7,0.7,8.1,2.8,0.4,1.3 ,96.4 ,1 ,54.8 ,15 ,57.1 ,32 ,"$78,311",70,"$80,761",101,37.5,,,,76,"471,308","264,925","164,710","440,652","255,209","174,095","416,822","255,063","154,884","430,765","259,608","144,901","26,256","457,312","260,175","170,001","27,136","345,945","196,300","149,645",0,"234,758","162,639",,,,,"762,725","647,505","6,430","71,545","17,925","3,095","16,225","610,705","534,585","5,340","45,645","13,665","2,320","9,155","720,579","608,657","5,200","70,134","20,592","2,680","13,316","568,934","493,336","4,066","45,942","15,899","2,063","7,628","536,718","19,442","83,068","140,294","293,914","462,229","9,599","67,793","120,873","263,964"
Colorado's 3rd,CO-03,Republican,Scott,Tipton,(SKAHT TIP-ton),/skɑt 'tɪp.tən/,2010,1956,Man,White - Non-Hispanic,Christian - Episcopalian,No,Won,40.0,52.0,45.8,51.8,48.4,49.9,43.6,51.5,40.3,54.6,35.7,58.0,43.5,56.5,77.0,0.8,18.8,0.7,1.4,1.2,75.5,0.7,20.7,0.7,1.2,1.2 ,90.3 ,155 ,30.9 ,193 ,36.0 ,186 ,"$53,778",276,"$58,216",304,49.3,,,,77,"377,176","151,057","195,966","358,045","163,886","185,459","343,167","166,259","171,205","336,201","146,426","173,205","16,570","374,037","150,914","204,220","18,903","281,141","100,364","163,011","17,766","142,920","185,291",,,,,"711,245","519,830","5,780","159,315","5,085","10,500","10,735","551,795","424,870","4,570","103,805","3,995","7,830","6,715","718,598","516,568","4,920","172,177","5,136","9,245","10,552","549,229","414,403","3,860","113,616","4,043","6,829","6,478","512,442","49,641","136,371","168,340","158,090","388,193","20,794","97,383","130,346","139,670"
Colorado's 4th,CO-04,Republican,Ken,Buck,(KEN BUHK),/kɛn bʌk/,2014,1959,Man,White - Non-Hispanic,Christian - Protestant,No,Won,34.3,57.4,39.2,58.5,41.9,56.4,39.4,60.6,31.7,63.5,29.2,64.7,38.6,61.4,79.4,1.2,16.1,1.4,0.5,1.4,77.2,1.3,18.1,1.7,0.6,1.1 ,91.0 ,118 ,34.7 ,137 ,39.2 ,155 ,"$74,481",86,"$80,236",107,48.2,,,,78,"402,197","137,779","230,945","357,971","140,404","209,415","330,465","138,609","186,271","369,621","145,544","224,038",39,"390,549","123,642","248,155","18,752","286,507","83,727","185,292","17,488","125,800","200,006",,,,,"759,465","572,280","8,905","148,695","11,480","3,020","15,080","558,105","442,900","6,825","89,720","8,045","2,675","7,940","717,241","529,742","8,734","151,566","12,288","3,597","11,314","522,909","403,465","6,952","94,856","8,958","2,884","5,794","526,004","47,259","125,078","170,944","182,723","402,602","15,840","89,760","139,103","157,899"
Colorado's 5th,CO-05,Republican,Doug,Lamborn,(DUHG LAM-bawrn),/dʌg 'læm.bɔɹn/,2006,1954,Man,White - Non-Hispanic,Christian - Protestant,No,Won,33.2,57.2,38.3,59.1,39.7,58.8,39.3,57.0,30.9,62.3,40.2,59.8,0.0,100.0,76.6,5.6,12.4,2.3,0.4,2.8,77.1,5.2,12.0,2.8,0.7,2.3 ,93.6 ,29 ,36.2 ,119 ,39.9 ,144 ,"$63,890",168,"$67,190",203,46.0,,,,79,"371,751","123,508","212,517","339,143","129,903","200,491","320,557","127,252","188,389","322,716","126,848","184,002","11,866","361,993","111,676","225,445","24,872","262,855","105,673","157,182",0,0,"199,639",,,,,"762,665","557,335","42,565","113,260","17,385","2,980","29,135","578,995","443,245","32,500","71,620","13,230","2,400","15,985","719,812","530,955","37,995","102,871","19,021","4,759","24,211","539,460","415,862","28,043","64,876","14,862","3,673","12,144","518,524","33,392","114,624","183,010","187,498","393,577","15,290","81,995","139,141","157,151"
Colorado's 6th,CO-06,Democratic,Jason,Crow,(JEY-suhn KROH),/'dʒeɪ.sən kɹoʊ/,2018,1979,Man,White - Non-Hispanic,Christian - Protestant,No,Lost,50.2,41.3,51.6,46.5,53.6,44.9,54.1,42.9,42.6,50.9,43.0,51.9,48.9,51.1,70.8,8.7,13.1,4.7,0.4,2.2,67.3,8.4,16.7,5.3,0.4,1.8 ,92.0 ,85 ,42.4 ,62 ,50.3 ,61 ,"$80,264",62,"$90,886",59,35.2,,,,80,"380,535","191,103","157,115","354,989","183,024","165,070","326,232","175,007","146,589","346,822","187,639","148,685","10,498","376,417","160,372","191,626","24,419","276,440","118,847","143,467","14,126","156,937","163,938",,,,,"737,295","484,390","66,100","125,575","35,225","3,010","23,000","538,735","381,485","47,040","70,720","25,260","2,325","11,895","719,715","455,014","62,231","141,923","37,602","2,812","20,133","521,204","350,982","43,868","87,117","27,686","2,141","9,410","534,780","42,618","109,115","156,466","226,581","354,944","10,019","60,886","105,499","178,540"
Colorado's 7th,CO-07,Democratic,Ed,Perlmutter,(ED PEARL-muh-ter),/ɛd 'pɜɹl.mə.ɾəɹ/,2006,1953,Man,White - Non-Hispanic,Christian - Protestant,No,Won,51.4,39.4,56.1,41.3,57.4,40.7,60.4,35.4,55.2,39.8,55.1,44.9,56.7,43.3,72.8,1.6,20.8,2.7,0.6,1.5,70.9,1.3,22.7,3.2,0.6,1.3 ,88.5 ,242 ,33.2 ,157 ,39.8 ,148 ,"$69,173",127,"$74,987",143,43.8,,,,81,"374,616","192,637","147,645","349,920","196,276","144,379","327,142","187,678","133,184","338,067","204,260","119,734","14,073","362,010","199,758","144,066","18,186","269,143","148,225","120,918",0,"182,460","139,066",,,,,"732,450","492,935","11,800","189,065","20,070","3,920","14,660","555,150","404,295","8,775","115,440","15,200","3,355","8,085","715,648","472,984","9,663","192,950","23,171","4,075","12,805","540,266","383,135","7,045","122,418","17,424","3,115","7,129","534,199","61,691","133,705","161,586","177,217","371,297","17,692","87,409","118,405","147,791"
Connecticut's 1st,CT-01,Democratic,John,Larson,(JAHN LAR-suhn),/dʒɑn 'lɑɹ.sən/,1998,1948,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,59.4,36.3,63.3,35.6,65.8,32.9,63.9,35.0,64.1,33.8,62.3,36.1,71.5,28.5,68.5,13.1,13.8,3.1,0.1,1.4,68.8,12.9,12.5,4.2,0.1,1.4 ,89.5 ,199 ,37.0 ,113 ,42.2 ,117 ,"$72,552",101,"$84,758",82,39.6,,,,82,"328,774","195,305","119,395","317,496","200,960","112,982","334,807","220,181","110,296","274,140","175,087","96,024","3,029","312,925","200,686","105,674","6,565","217,696","135,686","78,520","3,490","206,973","82,321",,,,,"664,500","428,155","91,905","107,650","22,810",865,"13,115","519,205","355,550","67,920","71,800","16,265",525,"7,150","711,905","463,950","97,473","104,464","31,262","1,058","13,698","550,375","378,925","71,209","68,830","23,058",778,"7,575","497,753","52,291","135,008","126,216","184,238","330,125","20,032","86,615","84,212","139,266"
Connecticut's 2nd,CT-02,Democratic,Joe,Courtney,(JOH KAWRT-nee),/dʒoʊ 'kɔɹt.ni/,2006,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,48.7,45.8,55.9,42.6,58.6,40.0,62.2,35.4,63.2,33.7,62.3,35.5,69.9,30.1,85.9,3.6,6.3,2.2,0.3,1.7,86.0,3.7,5.7,2.9,0.4,1.4 ,92.4 ,64 ,35.3 ,129 ,36.8 ,180 ,"$76,947",73,"$80,572",103,54.3,,,,83,"340,758","165,799","155,975","317,687","177,544","135,235","340,366","199,414","136,155","289,114","179,731","102,483","6,900","330,257","208,818","111,149","10,290","227,750","141,851","80,842","5,057","204,708","88,103",,,,,"683,160","570,860","24,120","52,690","16,010","1,830","17,645","549,035","471,585","19,790","34,760","12,175","1,450","9,285","712,938","600,037","25,834","48,295","20,733","2,930","15,109","559,634","481,488","20,502","31,638","15,994","2,121","7,891","488,407","36,979","141,707","137,195","172,526","415,349","24,105","119,846","118,665","152,733"
Connecticut's 3rd,CT-03,Democratic,Rosa,DeLauro,(ROH-zuh duh-LAHR-oh),/'ɹoʊ.zə də.'lɑ.ɹoʊ/,1990,1943,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,55.9,40.4,62.6,36.3,62.6,36.2,64.6,35.4,69.0,31.0,67.1,32.9,74.7,25.3,71.6,12.4,11.4,3.0,0.1,1.4,72.5,11.6,10.6,3.8,0.2,1.4 ,91.2 ,113 ,36.2 ,117 ,39.5 ,151 ,"$69,186",126,"$79,368",112,43.3,,,,84,"321,837","179,832","129,968","305,600","191,296","110,912","324,233","203,090","117,258","270,239","174,572","95,667",0,"309,379","213,572","95,786",21,"210,420","141,197","69,223",0,"217,585","73,726",,,,,"671,120","451,015","89,290","96,000","20,680",590,"13,545","532,825","381,745","66,175","60,975","15,875",575,"7,480","716,978","493,119","90,043","90,729","27,822","1,127","14,138","563,641","408,545","65,179","59,640","21,414",881,"7,982","496,234","43,889","151,506","121,175","179,664","347,595","21,519","103,888","84,898","137,290"
