District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2018 Incumbent,2016 President,,2012 President,,2008 President,,2018 US House,,2016 US House,,2014 US House,,2012 Two-Party,,2014-2018 ACS Citizen Adult Population,,,,,,2010 Census Adult Population by Race,,,,,,2014-2018 ACS Educational Attainment Among Adults 25+ and Median Household Income,,,,,,,,,,Non-College White Share,2013-2022 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2018 House,,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,ACS Citizen Population (Includes Latinos of Any Race),,,,,,,ACS Citizen Voting Age Population (Includes Latinos of Any Race),,,,,,,2010 Census Total Population (Includes Latinos of Any Race),,,,,,,2010 Census Voting Age Population (Includes Latinos of Any Race),,,,,,,2018 5-Year ACS Educational Attainment,,,,,2018 5-Year ACS White Educational Attainment,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,HS Rank,Bachelor's Degree or Higher,BA Rank (Bachelor's Degree Share),White BA (Bachelor's Degree or Higher Among Whites Only),White BA Rank (Bachelor's Degree Share),Median Income,Income Rank,White Income,White Rank,,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,< High School,High School,Some College,College,Total,< High School,High School,Some College,College
Arizona's 1st,AZ-01,Democratic,Tom,O'Halleran,(TAHM oh-HAL-er-uhn),/tɑm oʊ.'hæ.lɜ.ɹən/,2016,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,46.6,47.7,47.9,50.4,47.8,51.0,53.8,46.1,50.7,43.4,52.6,47.4,51.9,48.1,55.1,2.2,18.3,1.4,21.3,1.7,56.2,2.1,18.1,1.8,20.5,1.3 ,86.2 ,308 ,24.6 ,303 ,34.2 ,207 ,"$52,705",299,"$61,166",264,36.2,,,,9,"284,973","132,874","135,928","260,056","124,550","131,115","257,294","123,079","131,208","266,089","143,240","122,784",65,"280,710","142,219","121,745","16,746","185,114","97,391","87,723",0,"122,774","113,594",,,,,"728,585","363,085","16,075","154,685","9,395","168,825","16,520","549,355","302,450","12,330","100,490","7,660","117,180","9,240","710,224","361,485","14,687","147,846","11,190","162,087","12,929","522,309","293,758","11,113","94,295","9,180","107,182","6,781","491,840","68,070","131,907","170,999","120,864","274,297","17,414","62,292","100,822","93,769"
Arizona's 2nd,AZ-02,Democratic,Ann,Kirkpatrick,(ANN kirk-PAT-trik,/æn kəɹk.'pæ.tʃɹɪk/,"2018, 2012-2016, 2008-2010",1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Ran for Senate,49.6,44.7,48.4,49.9,48.9,49.8,54.7,45.2,43.0,57.0,49.9,50.0,50.4,49.6,68.3,3.5,22.5,2.6,1.0,2.0,69.2,3.5,21.7,3.0,0.9,1.7 ,91.0 ,120 ,34.0 ,143 ,38.9 ,157 ,"$52,267",308,"$56,123",333,41.7,,,,10,"315,839","156,676","141,196","299,691","144,966","149,651","308,531","150,877","153,747","294,152","161,000","133,083",69,"315,679","135,873","179,806",0,"219,351","109,543","109,704",104,"147,338","144,884",,,,,"682,305","433,040","24,635","182,510","16,895","6,915","18,310","539,385","368,605","19,085","121,340","14,150","5,595","10,605","710,224","457,249","25,861","183,537","20,664","6,472","16,441","558,252","386,563","19,389","121,379","16,686","4,899","9,336","502,450","45,228","106,217","179,989","171,016","339,396","16,658","67,083","123,512","132,143"
Arizona's 3rd,AZ-03,Democratic,Raúl,Grijalva,(rah-OOL gree-HAL-vuh) [Rs are trilled],/rɑ.'ul gri.'hæl.və/,2002,1948,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,62.4,32.5,61.4,36.9,58.2,40.7,63.9,36.1,88.1,0.0,55.7,44.2,61.1,38.9,36.1,5.2,52.1,1.8,3.5,1.2,34.6,3.9,55.2,2.1,3.1,1.2 ,76.0 ,412 ,16.2 ,419 ,26.3 ,331 ,"$46,643",376,"$55,631",338,26.6,,,,11,"208,934","130,466","67,952","177,248","108,902","65,482","176,761","102,818","71,980","179,518","114,650","64,868",0,"169,135","148,973",0,"20,162","104,428","58,192","46,185",51,"98,468","62,663",,,,,"680,090","203,110","33,215","398,485","10,515","24,485","10,280","475,510","171,710","24,850","247,915","8,385","16,735","5,910","710,224","206,608","27,375","430,398","12,954","22,441","10,448","497,743","172,005","19,441","274,610","10,419","15,302","5,966","458,653","109,946","125,844","148,776","74,087","148,600","11,992","39,986","57,588","39,034"
Arizona's 4th,AZ-04,Republican,Paul,Gosar,(PAWL GOH-sar),/pɔl 'goʊ.sɑɹ/,2010,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,27.5,67.7,31.0,67.2,34.4,64.2,30.5,68.2,28.5,71.5,25.8,70.0,29.8,70.2,79.8,1.7,14.2,1.2,1.5,1.6,79.7,1.5,14.5,1.2,1.8,1.3 ,87.3 ,279 ,19.2 ,400 ,20.7 ,411 ,"$50,135",342,"$49,965",408,63.3,,,,12,"298,483","82,192","202,043","258,046","80,035","173,394","251,086","86,346","161,163","277,035","84,521","188,842","3,672","284,783","81,296","203,487",0,"175,179","45,179","122,560","7,440","69,154","162,907",,,,,"734,495","558,365","12,705","127,880","8,840","11,510","15,190","587,615","468,880","10,235","83,390","7,155","8,610","9,355","710,224","538,609","11,065","127,216","8,356","12,667","12,311","556,383","443,629","8,123","80,797","6,662","10,146","7,026","565,335","71,537","167,898","217,109","108,791","448,382","41,940","133,891","179,909","92,642"
Arizona's 5th,AZ-05,Republican,Andy,Biggs,(ANN-dee BIGZ),/'æn.di bɪgz/,2016,1958,Man,White - Non-Hispanic,Christian - Mormon,No,Won,36.5,57.6,34.6,63.8,36.3,62.6,40.6,59.4,35.9,64.1,30.4,69.6,32.8,67.2,76.6,3.0,14.1,3.7,1.0,1.6,76.8,2.8,14.0,4.4,0.8,1.3 ,93.1 ,41 ,35.9 ,122 ,37.1 ,175 ,"$74,185",88,"$74,840",145,48.2,,,,13,"332,093","121,280","191,432","293,748","101,511","187,304","286,711","104,014","179,566","313,064","127,027","186,037",0,"320,124","114,940","205,184",0,"179,463","54,596","124,867",0,"89,589","183,470",,,,,"764,940","555,925","24,015","129,555","29,570","7,460","18,415","557,495","427,305","16,955","78,775","20,365","5,415","8,685","710,224","518,678","20,369","118,907","31,210","6,041","15,019","512,943","394,037","14,141","71,636","22,337","4,087","6,705","532,665","36,711","114,890","189,728","191,336","399,366","17,139","85,963","148,171","148,093"
Arizona's 6th,AZ-06,Republican,David,Schweikert,(DEY-vid SHWAHY-kert),/'deɪ.vɪd 'ʃwaɪ.kəɹt/,2010,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,42.4,52.4,38.8,59.5,41.2,57.7,44.8,55.2,37.9,62.1,35.1,64.9,35.2,64.8,80.2,2.6,11.2,3.1,1.4,1.5,79.2,2.3,12.3,3.6,1.4,1.3 ,92.4 ,65 ,44.0 ,55 ,47.2 ,81 ,"$70,776",108,"$75,335",139,42.3,,,,14,"338,331","143,571","177,332","313,417","121,661","186,537","316,599","130,426","182,747","313,699","140,559","173,140",0,"324,444","122,866","201,578",0,"199,776","70,198","129,578",0,"97,666","179,706",,,,,"718,355","542,105","19,225","105,235","24,180","10,890","16,725","565,540","453,450","14,555","63,445","17,385","8,160","8,555","710,224","534,954","16,932","107,938","25,771","11,141","13,488","554,574","439,087","12,503","68,057","19,933","7,677","7,317","562,540","42,610","101,139","170,998","247,793","432,731","17,767","74,329","136,427","204,208"
Arizona's 7th,AZ-07,Democratic,Ruben,Gallego,(ROO-bin GAHY-ey-goh),/'ɹu.bɪn 'gaɪ.eɪ.go/,2014,1979,Man,Hispanic - Mexican/Colombian,Christian - Roman Catholic,No,Won,71.8,22.6,71.7,26.5,64.7,34.1,85.6,0.0,75.2,24.7,74.9,0.0,100.0,0.0,31.9,11.8,49.0,2.6,2.8,1.8,26.7,9.0,58.2,2.8,2.1,1.3 ,68.9 ,425 ,14.3 ,427 ,27.8 ,303 ,"$41,714",414,"$48,900",416,23.1,,,,15,"164,399","117,958","37,232","140,907","101,028","37,353","132,868","85,991","45,289","132,051","113,044",0,"19,007","158,811","119,465","39,286",60,"72,454","54,235",0,"18,219","104,489",0,,,,,"650,985","155,530","69,360","380,700","14,340","17,515","13,540","416,820","133,105","49,320","204,190","11,015","11,875","7,305","710,224","148,948","61,376","457,064","17,438","13,930","11,468","474,491","126,628","42,663","275,963","13,180","9,742","6,315","462,196","143,677","130,042","122,188","66,289","123,448","12,483","32,659","44,019","34,287"
Arizona's 8th,AZ-08,Republican,Debbie,Lesko,(DEH-bee LES-koh),/'dɛ.bi 'lɛ.skoʊ/,2018 Special,1958,Woman,White - Non-Hispanic,Christian - Baptist,No,Won,37.0,58.1,36.9,61.7,38.4,60.6,44.5,55.5,0.0,68.5,0.0,75.8,35.6,64.4,74.8,4.4,15.3,3.2,0.6,1.6,76.1,3.6,15.1,3.2,0.7,1.3 ,92.1 ,81 ,29.4 ,218 ,31.0 ,254 ,"$65,813",150,"$66,361",210,51.6,24-Apr-18,47.6,52.4,16,"327,325","120,992","190,163","291,126","107,335","179,555","288,189","110,610","174,516","304,417","135,569","168,835",13,"298,971",0,"204,942","94,029","169,776",0,"128,710","41,066","95,635","172,809","183,342","87,330","96,012",,"747,810","525,515","33,555","141,100","24,775","4,810","18,050","576,755","431,355","25,435","88,335","18,435","3,700","9,490","710,225","509,305","27,059","131,226","23,104","5,003","14,528","536,590","408,385","19,155","81,076","17,325","3,619","7,030","545,799","42,861","137,000","205,473","160,465","406,703","20,411","102,870","157,222","126,200"
Arizona's 9th,AZ-09,Democratic,Greg,Stanton,(GREG STAN-tuhn),/gɹɛg 'stæn.ʔn/,2018,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Ran for Senate,54.7,38.4,51.1,46.6,51.3,47.4,61.1,38.9,60.9,39.0,54.7,41.9,52.2,47.8,66.7,5.8,19.1,3.7,2.6,2.1,64.4,4.7,22.4,4.5,2.3,1.7 ,89.8 ,184 ,38.5 ,98 ,45.3 ,91 ,"$56,869",237,"$64,433",231,36.5,,,,17,"283,863","155,158","109,123","264,563","135,244","123,263","274,042","140,546","129,894","261,245","159,583","101,662",0,"277,507","169,055","108,350",102,"162,062","88,609","67,841","5,612","121,881","111,630",,,,,"700,795","424,630","41,015","170,200","25,190","19,295","20,465","544,290","363,000","31,465","104,225","20,000","14,290","11,305","710,224","419,811","34,377","191,017","30,781","17,644","16,594","549,718","353,803","25,721","123,390","24,795","12,553","9,456","512,454","52,362","97,614","165,048","197,430","320,354","12,469","54,635","108,062","145,188"
Arkansas' 1st,AR-01,Republican,Rick,Crawford,(RIK KRAW-ferd),/ɹɪk 'kɹɔ.fəɹd/,2010,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Won,30.2,65.0,36.3,61.0,39.2,58.0,28.8,68.9,0.0,76.3,32.4,63.3,41.0,59.0,79.3,16.5,1.8,0.3,0.4,1.7,79.5,16.4,2.3,0.5,0.4,0.9 ,84.3 ,351 ,16.4 ,417 ,17.9 ,427 ,"$40,980",419,"$44,982",426,65.1,,,,18,"260,717","78,688","169,438","253,460","92,086","154,549","262,118","102,670","151,918","201,245","57,907","138,757","4,581","241,047",0,"183,866","57,181","196,256","63,555","124,139","8,562","96,601","138,800",,,,,"713,610","548,220","126,145","18,455","2,405","2,340","16,050","546,405","433,170","90,350","9,865","1,805","1,930","9,290","728,765","561,127","131,685","20,302","3,816","2,841","8,994","553,023","439,894","90,634","12,457","2,954","2,231","4,853","493,187","77,555","188,569","146,088","80,975","392,159","54,424","150,765","116,798","70,172"
